,n_clusters,method,avg_intra_per_cluster,mean_intra_overall,avg_inter_between_clusters,silhouette_coefficient
0,20,hierarchical,"{0: 0.89126956, 1: 0.90400594, 2: 0.8578897, 3: 0.8518277, 4: 0.84807086, 5: 0.8900033, 6: 0.87401444, 7: 0.87483144, 8: 0.86749214, 9: 0.88927925, 10: 0.7679621, 11: 0.841889, 12: 0.8691717, 13: 0.8441281, 14: 0.8089548, 15: 0.751977, 16: 0.8405596, 17: 0.8444001, 18: 0.7721018, 19: 0.8411731}",0.8465501,0.1,-0.0015685317
1,20,kmeans,"{0: 0.7473903, 1: 0.6973459, 2: 0.8157243, 3: 0.68265253, 4: 0.7573681, 5: 0.75999147, 6: 0.83357227, 7: 0.8224937, 8: 0.7471004, 9: 0.6979915, 10: 0.75640655, 11: 0.8466929, 12: 0.84557456, 13: 0.69331306, 14: 0.77042395, 15: 0.7896086, 16: 0.8297808, 17: 0.77449304, 18: 0.7969737, 19: 0.8042566}",0.7734577,0.1,0.057012785
