uri	embedding_dim	emb_0	emb_1	emb_2	emb_3	emb_4	embedding_norm
http://data.europa.eu/esco/skill/0005c151-5b5a-4a66-8aac-60e734beb1ab	128	-0.09477121	-0.029355139	-0.10610551	0.11285554	-0.060002636	1.0
http://data.europa.eu/esco/skill/00064735-8fad-454b-90c7-ed858cc993f2	128	0.05098764	0.13925022	0.050587114	0.102385886	-0.08057278	1.0
http://data.europa.eu/esco/skill/000709ed-2be5-4193-b056-45a97698d828	128	-0.07662874	-0.033052664	-0.077994324	-0.25652856	-0.04264192	1.0
http://data.europa.eu/esco/skill/0007bdc2-dd15-4824-b7d6-416522c46f35	128	-0.11860445	0.012701474	-0.099162504	0.13057119	0.038051646	1.0000001
http://data.europa.eu/esco/skill/00090cc1-1f27-439e-a4e0-19a87a501bfc	128	-0.1098919	0.0667613	-0.10317173	0.065409414	0.052151144	1.0
http://data.europa.eu/esco/skill/000bb1e4-89f0-4b86-be05-05ece3641724	128	0.04123096	0.12594254	-0.046351504	0.10676704	0.06283706	1.0
http://data.europa.eu/esco/skill/000c94d2-2a2e-4545-993c-6df8cb5b0316	128	-0.11033588	0.06478518	-0.104768135	0.06354784	0.057957165	1.0
http://data.europa.eu/esco/skill/000f1d3d-220f-4789-9c0a-cc742521fb02	128	-0.08752853	0.09601327	0.03281808	0.13002254	-0.030311707	1.0
http://data.europa.eu/esco/skill/001115fb-569f-4ee6-8381-c6807ef2527f	128	-0.12876447	0.13832685	0.02058477	0.0893655	0.014200561	1.0000001
http://data.europa.eu/esco/skill/001d46db-035e-4b92-83a3-ed8771e0c123	128	-0.12396035	0.09142031	0.06715575	0.10203391	-0.066733904	0.99999994
http://data.europa.eu/esco/skill/0023e7a5-43da-4b68-bee3-726ef21f986d	128	-0.10122249	0.09244021	0.03256493	0.09193797	0.16281185	1.0
http://data.europa.eu/esco/skill/00298d97-3dc3-4086-a902-bce0a2fba831	128	-0.15937267	-0.027173137	-0.032755665	0.047588993	-0.06480234	1.0
http://data.europa.eu/esco/skill/002b2e58-35ab-460c-be97-ca2f585fd990	128	-0.115393996	-0.041796073	-0.10071239	-0.041188065	-0.045181062	0.99999994
http://data.europa.eu/esco/skill/0037c821-2898-4919-b96e-7ed1cd89554c	128	-0.05712056	-0.11082748	-0.12951455	0.05824752	-0.044417493	1.0
http://data.europa.eu/esco/skill/004017c9-0337-4f5a-8077-798de9ef12e3	128	0.04725999	0.10150988	-0.11800157	0.101510085	-0.06548903	1.0
http://data.europa.eu/esco/skill/004f1e68-9ca2-4f3f-92d9-e7d7ff6b9330	128	0.060800437	0.110124625	0.06850346	-0.060785364	0.102491416	0.99999994
http://data.europa.eu/esco/skill/00506f28-e884-4496-800c-3477c67eb355	128	0.05433562	-0.054333504	-0.004225017	0.03619618	-0.060544204	1.0
http://data.europa.eu/esco/skill/0058526a-11e9-40a1-ab33-7c5ffdf5da05	128	-0.11649839	-0.047345284	-0.06611964	0.111061275	-0.074017845	1.0
http://data.europa.eu/esco/skill/00735755-adc6-4ea0-b034-b8caff339c9f	128	-0.11547305	0.09701063	0.049015712	0.0846147	-0.064025715	1.0
http://data.europa.eu/esco/skill/0082c13b-5866-4542-bc4f-722a4ae9530e	128	-0.10711526	0.1058696	-0.057776373	0.10710864	0.06308415	0.99999994
http://data.europa.eu/esco/skill/00831ebb-bac3-4bd1-8dae-2bca67be958d	128	-0.122611366	-0.034079242	-0.054945827	-0.034079053	0.12828098	1.0
http://data.europa.eu/esco/skill/0085e6bd-6829-4e8e-b302-842a7fe57ed9	128	-0.12031231	0.11961802	-0.029200405	0.1172675	0.027414316	1.0
http://data.europa.eu/esco/skill/008a0e0d-7380-4b31-abe5-0195e700f8c0	128	-0.10139267	0.11812118	-0.04261353	0.10927977	0.051318716	1.0
http://data.europa.eu/esco/skill/008fa98b-dba6-4abf-909e-04299728e3eb	128	-0.11835203	-0.01454405	-0.08550143	-0.018763917	0.09234871	1.0
http://data.europa.eu/esco/skill/00920055-eb50-4cb8-a23d-3deedbf3753e	128	-0.09275643	0.10929094	0.09951965	0.09079553	-0.09546716	1.0
http://data.europa.eu/esco/skill/009673d9-e2fd-46ef-a64b-6027ac7fd613	128	-0.10798442	-0.05870357	-0.11587231	-0.017574552	-0.051013853	1.0
http://data.europa.eu/esco/skill/00994812-ac9e-4856-954b-f71bcc6066bb	128	-0.06697759	0.041814048	-0.1287996	0.042110916	0.036537457	1.0
http://data.europa.eu/esco/skill/009db49b-fcf5-4409-b4a5-232d059f3597	128	-0.101283126	-0.052397765	-0.12072314	-0.028672637	-0.04956931	1.0
http://data.europa.eu/esco/skill/00a4e92d-e410-42b8-ba2d-d7b3febf49e0	128	-0.111961596	0.07031483	-0.09912357	0.1121957	-0.024681067	1.0
http://data.europa.eu/esco/skill/00abcddb-cbd4-477f-9aa0-9f27b32e312b	128	-0.1048723	0.10915067	0.05666231	0.10913426	-0.05811814	1.0
http://data.europa.eu/esco/skill/00b9a3aa-7070-4bb5-8020-f228a97cf42f	128	-0.10824054	-0.043379262	-0.047876753	0.108329125	-0.073549666	1.0
